Item;Smu1_I(1)(1);Smu1_Time(1)(1);
156;0,699999988079071;25,298828125;
157;0,689999997615814;25,4619140625;
158;0,680000007152557;25,6240234375;
159;0,670000016689301;25,787109375;
160;0,660000026226044;25,94921875;
161;0,649999976158142;26,1123046875;
162;0,639999985694885;26,2744140625;
163;0,629999995231628;26,4365234375;
164;0,620000004768372;26,599609375;
165;0,610000014305115;26,76171875;
166;0,600000023841858;26,9248046875;
167;0,589999973773956;27,0869140625;
168;0,579999983310699;27,25;
169;0,569999992847443;27,412109375;
170;0,560000002384186;27,57421875;
171;0,550000011920929;27,7373046875;
172;0,540000021457672;27,8994140625;
173;0,529999971389771;28,0625;
174;0,519999980926514;28,224609375;
175;0,509999990463257;28,38671875;
176;0,5;28,5498046875;
177;0,490000009536743;28,7119140625;
178;0,479999989271164;28,875;
179;0,469999998807907;29,037109375;
180;0,46000000834465;29,2001953125;
181;0,449999988079071;29,3623046875;
182;0,439999997615814;29,525390625;
183;0,430000007152557;29,6875;
184;0,419999986886978;29,8505859375;
185;0,409999996423721;30,0126953125;
186;0,400000005960464;30,17578125;
187;0,389999985694885;30,337890625;
188;0,379999995231628;30,5009765625;
189;0,370000004768372;30,6630859375;
190;0,360000014305115;30,8251953125;
191;0,349999994039536;30,98828125;
192;0,340000003576279;31,150390625;
193;0,330000013113022;31,3134765625;
194;0,319999992847443;31,4755859375;
195;0,310000002384186;31,638671875;
196;0,300000011920929;31,80078125;
197;0,28999999165535;31,962890625;
198;0,280000001192093;32,1259765625;
199;0,270000010728836;32,2880859375;
200;0,259999990463257;32,451171875;
201;0,25;32,61328125;
202;0,239999994635582;32,7763671875;
203;0,230000004172325;32,9384765625;
204;0,219999998807907;33,1005859375;
205;0,209999993443489;33,263671875;
206;0,200000002980232;33,42578125;
207;0,189999997615814;33,5888671875;
208;0,180000007152557;33,7509765625;
209;0,170000001788139;33,9140625;
210;0,159999996423721;34,076171875;
211;0,150000005960464;34,23828125;
212;0,140000000596046;34,4013671875;
213;0,129999995231628;34,5634765625;
214;0,119999997317791;34,7265625;
215;0,109999999403954;34,888671875;
216;0,100000001490116;35,05078125;
217;0,0900000035762787;35,2138671875;
218;0,0799999982118607;35,3759765625;
219;0,0700000002980232;35,5390625;
220;0,0599999986588955;35,701171875;
221;0,0500000007450581;35,8642578125;
222;0,0399999991059303;36,0263671875;
223;0,0299999993294477;36,1884765625;
224;0,0199999995529652;36,3515625;
225;0,00999999977648258;36,513671875;
226;0;36,6767578125;
227;-0,00999999977648258;36,83984375;
228;-0,0199999995529652;37,001953125;
229;-0,0299999993294477;37,1640625;
230;-0,0399999991059303;37,3271484375;
231;-0,0500000007450581;37,4892578125;
232;-0,0599999986588955;37,65234375;
233;-0,0700000002980232;37,814453125;
234;-0,0799999982118607;37,9775390625;
235;-0,0900000035762787;38,1396484375;
236;-0,100000001490116;38,302734375;
237;-0,109999999403954;38,46484375;
238;-0,119999997317791;38,626953125;
239;-0,129999995231628;38,7900390625;
240;-0,140000000596046;38,9521484375;
241;-0,150000005960464;39,115234375;
242;-0,159999996423721;39,27734375;
243;-0,170000001788139;39,4404296875;
244;-0,180000007152557;39,6025390625;
245;-0,189999997615814;39,765625;
246;-0,200000002980232;39,927734375;
247;-0,209999993443489;40,08984375;
248;-0,219999998807907;40,2529296875;
249;-0,230000004172325;40,4150390625;
250;-0,239999994635582;40,578125;
251;-0,25;40,740234375;
252;-0,259999990463257;40,9033203125;
253;-0,270000010728836;41,0654296875;
254;-0,280000001192093;41,2275390625;
255;-0,28999999165535;41,390625;
