Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_Time(1)(1);
106;4,74644565582275;0,300000011920929;17,5341796875;
107;4,77450275421143;0,310000002384186;17,697265625;
108;4,80321025848389;0,319999992847443;17,8603515625;
109;4,83081197738647;0,330000013113022;18,0234375;
110;4,85925388336182;0,340000003576279;18,185546875;
111;4,88811779022217;0,349999994039536;18,3486328125;
112;4,91703701019287;0,360000014305115;18,51171875;
113;4,94595575332642;0,370000004768372;18,6748046875;
114;4,97531843185425;0,379999995231628;18,8369140625;
115;5,00008535385132;0,389999985694885;19;
116;5,00007915496826;0,400000005960464;19,1630859375;
117;5,00008392333984;0,409999996423721;19,326171875;
118;5,00009632110596;0,419999986886978;19,4892578125;
119;5,00008916854858;0,430000007152557;19,6513671875;
120;5,00008726119995;0,439999997615814;19,814453125;
121;5,00008773803711;0,449999988079071;19,9775390625;
122;5,00008344650269;0,46000000834465;20,140625;
123;5,00008487701416;0,469999998807907;20,3037109375;
124;5,00009250640869;0,479999989271164;20,466796875;
125;5,00008869171143;0,490000009536743;20,62890625;
126;5,00009965896606;0,5;20,7919921875;
127;5,00010395050049;0,509999990463257;20,955078125;
128;5,00009632110596;0,519999980926514;21,1181640625;
129;5,00010299682617;0,529999971389771;21,28125;
130;5,00010824203491;0,540000021457672;21,4443359375;
131;5,00010538101196;0,550000011920929;21,6064453125;
132;5,00010967254639;0,560000002384186;21,76953125;
133;5,00010204315186;0,569999992847443;21,9326171875;
134;5,00009679794312;0,579999983310699;22,095703125;
135;5,00010633468628;0,589999973773956;22,2578125;
136;5,00010633468628;0,600000023841858;22,4208984375;
137;5,00010395050049;0,610000014305115;22,583984375;
138;5,00009489059448;0,620000004768372;22,7470703125;
139;5,00011110305786;0,629999995231628;22,91015625;
140;5,00011110305786;0,639999985694885;23,0732421875;
141;5,00010871887207;0,649999976158142;23,236328125;
142;5,00010824203491;0,660000026226044;23,3984375;
143;5,00010681152344;0,670000016689301;23,5615234375;
144;5,00009489059448;0,680000007152557;23,724609375;
145;5,00010681152344;0,689999997615814;23,8876953125;
146;5,00010442733765;0,699999988079071;24,05078125;
147;5,0001106262207;0,709999978542328;24,212890625;
148;5,00013017654419;0,720000028610229;24,3759765625;
149;5,00011396408081;0,730000019073486;24,5390625;
150;5,00011682510376;0,740000009536743;24,7021484375;
151;5,00012397766113;0,75;24,865234375;
152;5,00012016296387;0,740000009536743;25,0283203125;
153;5,00012874603271;0,730000019073486;25,19140625;
154;5,00011491775513;0,720000028610229;25,3544921875;
155;5,00011682510376;0,709999978542328;25,5166015625;
156;5,00011968612671;0,699999988079071;25,6796875;
157;5,0001049041748;0,689999997615814;25,8427734375;
158;5,00012350082397;0,680000007152557;26,005859375;
159;5,00010967254639;0,670000016689301;26,1689453125;
160;5,00010967254639;0,660000026226044;26,33203125;
161;5,00011682510376;0,649999976158142;26,494140625;
162;5,00011539459229;0,639999985694885;26,6572265625;
163;5,00009727478027;0,629999995231628;26,8203125;
164;5,00010061264038;0,620000004768372;26,9833984375;
165;5,00010347366333;0,610000014305115;27,146484375;
166;5,00009632110596;0,600000023841858;27,3095703125;
167;5,0001015663147;0,589999973773956;27,4716796875;
168;5,00009965896606;0,579999983310699;27,634765625;
169;5,00010299682617;0,569999992847443;27,7978515625;
170;5,00009822845459;0,560000002384186;27,9609375;
171;5,00009679794312;0,550000011920929;28,1240234375;
172;5,0001072883606;0,540000021457672;28,287109375;
173;5,00009346008301;0,529999971389771;28,4501953125;
174;5,00009632110596;0,519999980926514;28,6123046875;
175;5,00009059906006;0,509999990463257;28,775390625;
176;5,00009107589722;0,5;28,9384765625;
177;5,00010395050049;0,490000009536743;29,1015625;
